all_sig_categories	Freq
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 63%611105	20
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	20
RESPONSE TO OXYGEN LEVELS%GOBP%GO:0070482	20
RHYTHMIC PROCESS%GOBP%GO:0048511	20
SCAVENGING BY CLASS A RECEPTORS%REACTOME%R-HSA-3000480.1	20
STEM CELL DIFFERENTIATION%GOBP%GO:0048863	20
SYMBIONT PROCESS%GOBP%GO:0044403	20
SYNAPSE ORGANIZATION%GOBP%GO:0050808	20
SYNAPTIC MEMBRANE%GOCC%GO:0097060	20
THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 63%1428517	20
UNSATURATED FATTY ACID METABOLIC PROCESS%GOBP%GO:0033559	20
BONE MORPHOGENESIS%GOBP%GO:0060349	19
CALCIUM ION BINDING%GOMF%GO:0005509	19
CATION CHANNEL COMPLEX%GOCC%GO:0034703	19
CELL-CELL ADHESION VIA PLASMA-MEMBRANE ADHESION MOLECULES%GOBP%GO:0098742	19
CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002263	19
CELL LEADING EDGE%GOCC%GO:0031252	19
CELLULAR COMPONENT ASSEMBLY INVOLVED IN MORPHOGENESIS%GOBP%GO:0010927	19
CELLULAR RESPONSE TO DNA DAMAGE STIMULUS%GOBP%GO:0006974	19
CELLULAR RESPONSE TO EXTRACELLULAR STIMULUS%GOBP%GO:0031668	19
CELLULAR RESPONSE TO OXIDATIVE STRESS%GOBP%GO:0034599	19
CELLULAR RESPONSE TO PEPTIDE%GOBP%GO:1901653	19
CELLULAR SENESCENCE%REACTOME DATABASE ID RELEASE 63%2559583	19
COLLAGEN BINDING%GOMF%GO:0005518	19
DIGESTIVE TRACT DEVELOPMENT%GOBP%GO:0048565	19
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	19
GLIAL CELL DIFFERENTIATION%GOBP%GO:0010001	19
HALLMARK_ANDROGEN_RESPONSE%MSIGDB_C2%HALLMARK_ANDROGEN_RESPONSE	19
INFECTIOUS DISEASE%REACTOME%R-HSA-5663205.4	19
LARGE RIBOSOMAL SUBUNIT%GOCC%GO:0015934	19
LIPID LOCALIZATION%GOBP%GO:0010876	19
METANEPHROS DEVELOPMENT%GOBP%GO:0001656	19
MONOOXYGENASE ACTIVITY%GOMF%GO:0004497	19
MUSCLE ORGAN MORPHOGENESIS%GOBP%GO:0048644	19
MYELOID LEUKOCYTE ACTIVATION%GOBP%GO:0002274	19
NEGATIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050777	19
NEGATIVE REGULATION OF PEPTIDASE ACTIVITY%GOBP%GO:0010466	19
NEUTRAL LIPID METABOLIC PROCESS%GOBP%GO:0006638	19
NONSENSE-MEDIATED DECAY (NMD)%REACTOME DATABASE ID RELEASE 63%927802	19
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 63%975957	19
NUCLEAR CHROMOSOME SEGREGATION%GOBP%GO:0098813	19
ORGANIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0016053	19
OSTEOBLAST DIFFERENTIATION%GOBP%GO:0001649	19
PEPTIDE BINDING%GOMF%GO:0042277	19
PEPTIDE TRANSPORT%GOBP%GO:0015833	19
POSITIVE REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009896	19
POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068	19
POSITIVE REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION%GOBP%GO:0002763	19
POSITIVE REGULATION OF REACTIVE OXYGEN SPECIES METABOLIC PROCESS%GOBP%GO:2000379	19
POSITIVE REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042102	19
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION%GOBP%GO:0032760	19
PRODUCTION OF MOLECULAR MEDIATOR OF IMMUNE RESPONSE%GOBP%GO:0002440	19
PURINE NUCLEOTIDE BINDING%GOMF%GO:0017076	19
REGULATION OF ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0032956	19
REGULATION OF CALCIUM ION TRANSPORT%GOBP%GO:0051924	19
REGULATION OF CELLULAR COMPONENT SIZE%GOBP%GO:0032535	19
REGULATION OF CHEMOKINE PRODUCTION%GOBP%GO:0032642	19
REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002718	19
REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051052	19
REGULATION OF EMBRYONIC DEVELOPMENT%GOBP%GO:0045995	19
REGULATION OF EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0030856	19
REGULATION OF STRIATED MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0016202	19
RIBONUCLEOTIDE BINDING%GOMF%GO:0032553	19
SEX DIFFERENTIATION%GOBP%GO:0007548	19
SYNAPTIC SIGNALING%GOBP%GO:0099536	19
SYSTEM PROCESS%GOBP%GO:0003008	19
TRANS-SYNAPTIC SIGNALING%GOBP%GO:0099537	19
TRANSCRIPTIONAL REGULATION BY TP53%REACTOME DATABASE ID RELEASE 63%3700989	19
TRIGLYCERIDE METABOLIC PROCESS%GOBP%GO:0006641	19
ACYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0006639	18
AMIDE BINDING%GOMF%GO:0033218	18
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	18
ANTIMICROBIAL PEPTIDES%REACTOME DATABASE ID RELEASE 63%6803157	18
C-MYB TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%C-MYB TRANSCRIPTION FACTOR NETWORK	18
CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES	18
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.2	18
CARBOXYLIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0046394	18
CARBOXYLIC ACID TRANSPORT%GOBP%GO:0046942	18
CARDIAC MUSCLE TISSUE MORPHOGENESIS%GOBP%GO:0055008	18
CARDIAC VENTRICLE DEVELOPMENT%GOBP%GO:0003231	18
CELLULAR RESPONSE TO INTERLEUKIN-1%GOBP%GO:0071347	18
CELLULAR RESPONSE TO TUMOR NECROSIS FACTOR%GOBP%GO:0071356	18
DEVELOPMENT OF PRIMARY SEXUAL CHARACTERISTICS%GOBP%GO:0045137	18
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3	18
EYE MORPHOGENESIS%GOBP%GO:0048592	18
FIBRONECTIN BINDING%GOMF%GO:0001968	18
HALLMARK_APICAL_JUNCTION%MSIGDB_C2%HALLMARK_APICAL_JUNCTION	18
HEME BINDING%GOMF%GO:0020037	18
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME DATABASE ID RELEASE 63%198933	18
INTRINSIC COMPONENT OF MEMBRANE%GOCC%GO:0031224	18
LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:0007159	18
MAINTENANCE OF LOCATION%GOBP%GO:0051235	18
MUSCLE TISSUE MORPHOGENESIS%GOBP%GO:0060415	18
MYOFIBRIL ASSEMBLY%GOBP%GO:0030239	18
NEGATIVE REGULATION OF CELL GROWTH%GOBP%GO:0030308	18
NEURONAL SYSTEM%REACTOME DATABASE ID RELEASE 63%112316	18
NUCLEAR CHROMOSOME PART%GOCC%GO:0044454	18
NUCLEAR DIVISION%GOBP%GO:0000280	18
ORGANELLE FISSION%GOBP%GO:0048285	18
ORGANIC ACID TRANSPORT%GOBP%GO:0015849	18
PID_CMYB_PATHWAY%MSIGDB_C2%PID_CMYB_PATHWAY	18
PID_NFAT_TFPATHWAY%MSIGDB_C2%PID_NFAT_TFPATHWAY	18
POSITIVE REGULATION OF CELL MORPHOGENESIS INVOLVED IN DIFFERENTIATION%GOBP%GO:0010770	18
POSITIVE REGULATION OF NEUTROPHIL CHEMOTAXIS%GOBP%GO:0090023	18
POSITIVE REGULATION OF OSSIFICATION%GOBP%GO:0045778	18
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903557	18
PROTEIN TRANSPORT%GOBP%GO:0015031	18
RAF MAP KINASE CASCADE%REACTOME%R-HSA-5673001.4	18
REGULATION OF EXTENT OF CELL GROWTH%GOBP%GO:0061387	18
REGULATION OF FIBROBLAST PROLIFERATION%GOBP%GO:0048145	18
REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING%GOBP%GO:0043122	18
REGULATION OF NEUTROPHIL MIGRATION%GOBP%GO:1902622	18
REGULATION OF REACTIVE OXYGEN SPECIES METABOLIC PROCESS%GOBP%GO:2000377	18
REGULATION OF STRESS-ACTIVATED MAPK CASCADE%GOBP%GO:0032872	18
REGULATION OF VIRAL PROCESS%GOBP%GO:0050792	18
RESPONSE TO ACID CHEMICAL%GOBP%GO:0001101	18
RESPONSE TO INTERLEUKIN-1%GOBP%GO:0070555	18
SIGNALING BY ROBO RECEPTORS%REACTOME%R-HSA-376176.4	18
SPROUTING ANGIOGENESIS%GOBP%GO:0002040	18
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 63%1799339	18
SYNDECAN-1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-1-MEDIATED SIGNALING EVENTS	18
TRANSCRIPTIONAL REGULATION BY RUNX1%REACTOME%R-HSA-8878171.2	18
TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME DATABASE ID RELEASE 63%381340	18
TRANSLATION%REACTOME%R-HSA-72766.3	18
ANTEROGRADE TRANS-SYNAPTIC SIGNALING%GOBP%GO:0098916	17
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN%GOBP%GO:0019884	17
CARBOHYDRATE DERIVATIVE METABOLIC PROCESS%GOBP%GO:1901135	17
CELL DIVISION%GOBP%GO:0051301	17
CELLULAR RESPONSE TO INTERFERON-GAMMA%GOBP%GO:0071346	17
CENTROSOME%GOCC%GO:0005813	17
CHEMICAL SYNAPTIC TRANSMISSION%GOBP%GO:0007268	17
CONDENSED CHROMOSOME%GOCC%GO:0000793	17
DEFENSE RESPONSE TO PROTOZOAN%GOBP%GO:0042832	17
DIVALENT INORGANIC CATION TRANSPORT%GOBP%GO:0072511	17
DNA PACKAGING%GOBP%GO:0006323	17
DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS	17
EMBRYONIC SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:0048706	17
ENDOPEPTIDASE INHIBITOR ACTIVITY%GOMF%GO:0004866	17
ENDOPEPTIDASE REGULATOR ACTIVITY%GOMF%GO:0061135	17
ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0007163	17
GLUCOCORTICOID RECEPTOR REGULATORY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GLUCOCORTICOID RECEPTOR REGULATORY NETWORK	17
GLYCEROLIPID METABOLIC PROCESS%GOBP%GO:0046486	17
GONAD DEVELOPMENT%GOBP%GO:0008406	17
GROWTH FACTOR RECEPTOR BINDING%GOMF%GO:0070851	17
INFLUENZA LIFE CYCLE%REACTOME DATABASE ID RELEASE 63%168255	17
ION CHANNEL COMPLEX%GOCC%GO:0034702	17
MEMORY%GOBP%GO:0007613	17
MITOTIC SPINDLE%GOCC%GO:0072686	17
NEGATIVE REGULATION OF CELL PROJECTION ORGANIZATION%GOBP%GO:0031345	17
NEGATIVE REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050680	17
NEGATIVE REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070664	17
NEGATIVE REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1901343	17
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1	17
NUCLEAR BODY%GOCC%GO:0016604	17
PALLIUM DEVELOPMENT%GOBP%GO:0021543	17
PEPTIDASE INHIBITOR ACTIVITY%GOMF%GO:0030414	17
PEPTIDYL-AMINO ACID MODIFICATION%GOBP%GO:0018193	17
PID_CD8_TCR_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_CD8_TCR_DOWNSTREAM_PATHWAY	17
PID_REG_GR_PATHWAY%MSIGDB_C2%PID_REG_GR_PATHWAY	17
POSITIVE REGULATION OF CELLULAR PROTEIN LOCALIZATION%GOBP%GO:1903829	17
POSITIVE REGULATION OF LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002708	17
POSITIVE REGULATION OF OSTEOBLAST DIFFERENTIATION%GOBP%GO:0045669	17
PROTEIN HOMOOLIGOMERIZATION%GOBP%GO:0051260	17
REGULATION OF AXON EXTENSION%GOBP%GO:0030516	17
REGULATION OF B CELL PROLIFERATION%GOBP%GO:0030888	17
REGULATION OF CELL-MATRIX ADHESION%GOBP%GO:0001952	17
REGULATION OF DNA-TEMPLATED TRANSCRIPTION IN RESPONSE TO STRESS%GOBP%GO:0043620	17
REGULATION OF INTERFERON-GAMMA PRODUCTION%GOBP%GO:0032649	17
REGULATION OF LIPID TRANSPORT%GOBP%GO:0032368	17
REGULATION OF NEUTROPHIL CHEMOTAXIS%GOBP%GO:0090022	17
REGULATION OF NUCLEAR DIVISION%GOBP%GO:0051783	17
REGULATION OF PEPTIDE HORMONE SECRETION%GOBP%GO:0090276	17
REGULATION OF PHAGOCYTOSIS%GOBP%GO:0050764	17
REGULATION OF SUPRAMOLECULAR FIBER ORGANIZATION%GOBP%GO:1902903	17
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO STRESS%GOBP%GO:0043618	17
RESPONSE TO PROTOZOAN%GOBP%GO:0001562	17
RESPONSE TO REACTIVE OXYGEN SPECIES%GOBP%GO:0000302	17
RESPONSE TO STEROID HORMONE%GOBP%GO:0048545	17
RHO GTPASE EFFECTORS%REACTOME DATABASE ID RELEASE 63%195258	17
RIBONUCLEOPROTEIN COMPLEX ASSEMBLY%GOBP%GO:0022618	17
RIBONUCLEOPROTEIN COMPLEX SUBUNIT ORGANIZATION%GOBP%GO:0071826	17
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 63%2408522	17
STRIATED MUSCLE THIN FILAMENT%GOCC%GO:0005865	17
SULFUR COMPOUND METABOLIC PROCESS%GOBP%GO:0006790	17
TETRAPYRROLE BINDING%GOMF%GO:0046906	17
TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR	17
TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER%GOBP%GO:0006366	17
AMINO ACID AND DERIVATIVE METABOLISM%REACTOME DATABASE ID RELEASE 63%71291	16
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	16
CARDIAC SEPTUM DEVELOPMENT%GOBP%GO:0003279	16
CELL CYCLE PHASE TRANSITION%GOBP%GO:0044770	16
CELL SURFACE INTERACTIONS AT THE VASCULAR WALL%REACTOME DATABASE ID RELEASE 63%202733	16
CELLULAR RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0071496	16
CELLULAR RESPONSE TO INORGANIC SUBSTANCE%GOBP%GO:0071241	16
DIVALENT METAL ION TRANSPORT%GOBP%GO:0070838	16
ENDOCRINE SYSTEM DEVELOPMENT%GOBP%GO:0035270	16
ENDOSOME%GOCC%GO:0005768	16
GASTRULATION%GOBP%GO:0007369	16
GLUCOSE METABOLIC PROCESS%GOBP%GO:0006006	16
HALLMARK_CHOLESTEROL_HOMEOSTASIS%MSIGDB_C2%HALLMARK_CHOLESTEROL_HOMEOSTASIS	16
IL6%NETPATH%IL6	16
INFLUENZA INFECTION%REACTOME DATABASE ID RELEASE 63%168254	16
LIPID BIOSYNTHETIC PROCESS%GOBP%GO:0008610	16
MESONEPHROS DEVELOPMENT%GOBP%GO:0001823	16
MITOCHONDRIAL INNER MEMBRANE%GOCC%GO:0005743	16
MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:0044772	16
MITOTIC NUCLEAR DIVISION%GOBP%GO:0140014	16
MYOFILAMENT%GOCC%GO:0036379	16
NEGATIVE REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090288	16
NEGATIVE REGULATION OF NEURON PROJECTION DEVELOPMENT%GOBP%GO:0010977	16
NUCLEOSIDE PHOSPHATE BINDING%GOMF%GO:1901265	16
NUCLEOTIDE BINDING%GOMF%GO:0000166	16
ORGANELLE SUBCOMPARTMENT%GOCC%GO:0031984	16
OTHER ORGANISM CELL%GOCC%GO:0044216	16
OTHER ORGANISM PART%GOCC%GO:0044217	16
OTHER ORGANISM%GOCC%GO:0044215	16
OUTFLOW TRACT MORPHOGENESIS%GOBP%GO:0003151	16
PEPTIDASE ACTIVITY%GOMF%GO:0008233	16
POSITIVE REGULATION OF CYTOKINE BIOSYNTHETIC PROCESS%GOBP%GO:0042108	16
POSITIVE REGULATION OF CYTOKINE SECRETION%GOBP%GO:0050715	16
POSITIVE REGULATION OF GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071624	16
POSITIVE REGULATION OF INTERFERON-GAMMA PRODUCTION%GOBP%GO:0032729	16
POSITIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0045621	16
POSITIVE REGULATION OF PHAGOCYTOSIS%GOBP%GO:0050766	16
PROTEASE BINDING%GOMF%GO:0002020	16
PROTEIN LOCALIZATION TO ORGANELLE%GOBP%GO:0033365	16
PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOMF%GO:0004674	16
PURINE RIBONUCLEOTIDE BINDING%GOMF%GO:0032555	16
REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901987	16
REGULATION OF CELLULAR AMIDE METABOLIC PROCESS%GOBP%GO:0034248	16
REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:0033044	16
REGULATION OF INTRACELLULAR TRANSPORT%GOBP%GO:0032386	16
REGULATION OF ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:0032412	16
REGULATION OF MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051147	16
REGULATION OF OSTEOCLAST DIFFERENTIATION%GOBP%GO:0045670	16
REGULATION OF SYNAPSE STRUCTURE OR ACTIVITY%GOBP%GO:0050803	16
RESPONSE TO MECHANICAL STIMULUS%GOBP%GO:0009612	16
RIBOSOME BIOGENESIS%GOBP%GO:0042254	16
SISTER CHROMATID SEGREGATION%GOBP%GO:0000819	16
SMALL RIBOSOMAL SUBUNIT%GOCC%GO:0015935	16
TRANSCRIPTION COFACTOR ACTIVITY%GOMF%GO:0003712	16
TSLP%NETPATH%TSLP	16
A BAND%GOCC%GO:0031672	15
ACTOMYOSIN STRUCTURE ORGANIZATION%GOBP%GO:0031032	15
ALCOHOL METABOLIC PROCESS%GOBP%GO:0006066	15
ANATOMICAL STRUCTURE MATURATION%GOBP%GO:0071695	15
ARTERY DEVELOPMENT%GOBP%GO:0060840	15
AXON PART%GOCC%GO:0033267	15
B CELL ACTIVATION%PANTHER PATHWAY%P00010	15
CARDIAC CELL DEVELOPMENT%GOBP%GO:0055006	15
CARDIAC CONDUCTION%REACTOME DATABASE ID RELEASE 63%5576891	15
CATION CHANNEL ACTIVITY%GOMF%GO:0005261	15
CELL PROJECTION MEMBRANE%GOCC%GO:0031253	15
CELL SURFACE RECEPTOR SIGNALING PATHWAY INVOLVED IN CELL-CELL SIGNALING%GOBP%GO:1905114	15
CHROMOSOME, CENTROMERIC REGION%GOCC%GO:0000775	15
COFACTOR METABOLIC PROCESS%GOBP%GO:0051186	15
CYTOCHROME P450 - ARRANGED BY SUBSTRATE TYPE%REACTOME DATABASE ID RELEASE 63%211897	15
CYTOSOLIC LARGE RIBOSOMAL SUBUNIT%GOCC%GO:0022625	15
CYTOSOLIC SMALL RIBOSOMAL SUBUNIT%GOCC%GO:0022627	15
DEFENSE RESPONSE TO GRAM-NEGATIVE BACTERIUM%GOBP%GO:0050829	15
DNA CONFORMATION CHANGE%GOBP%GO:0071103	15
ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.3	15
EPIDERMIS DEVELOPMENT%GOBP%GO:0008544	15
ESTABLISHMENT OF ORGANELLE LOCALIZATION%GOBP%GO:0051656	15
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	15
HALLMARK_ANGIOGENESIS%MSIGDB_C2%HALLMARK_ANGIOGENESIS	15
IMMUNOGLOBULIN PRODUCTION%GOBP%GO:0002377	15
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME DATABASE ID RELEASE 63%168273	15
INTEGRAL COMPONENT OF MEMBRANE%GOCC%GO:0016021	15
LEARNING%GOBP%GO:0007612	15
LIPOPROTEIN METABOLISM%REACTOME DATABASE ID RELEASE 63%174824	15
MICROTUBULE%GOCC%GO:0005874	15
MIDBODY%GOCC%GO:0030496	15
MYELIN SHEATH%GOCC%GO:0043209	15
NEGATIVE REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031348	15
NEGATIVE REGULATION OF DEVELOPMENTAL GROWTH%GOBP%GO:0048640	15
NEGATIVE REGULATION OF PROTEOLYSIS%GOBP%GO:0045861	15
ORGAN GROWTH%GOBP%GO:0035265	15
ORGANELLE INNER MEMBRANE%GOCC%GO:0019866	15
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 63%156902	15
PHOSPHOLIPID BINDING%GOMF%GO:0005543	15
PID_BCR_5PATHWAY%MSIGDB_C2%PID_BCR_5PATHWAY	15
PID_CXCR4_PATHWAY%MSIGDB_C2%PID_CXCR4_PATHWAY	15
POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001235	15
POSITIVE REGULATION OF CELLULAR CATABOLIC PROCESS%GOBP%GO:0031331	15
POSITIVE REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051054	15
POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010595	15
POSITIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION%GOBP%GO:0001938	15
POSITIVE REGULATION OF MAP KINASE ACTIVITY%GOBP%GO:0043406	15
POSITIVE REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0045931	15
POSITIVE REGULATION OF NEUTROPHIL MIGRATION%GOBP%GO:1902624	15
PRESYNAPSE%GOCC%GO:0098793	15
REGULATION OF ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046634	15
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME%R-HSA-9010553.1	15
REGULATION OF HETEROTYPIC CELL-CELL ADHESION%GOBP%GO:0034114	15
REGULATION OF PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0043254	15
REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900180	15
REGULATION OF RESPONSE TO WOUNDING%GOBP%GO:1903034	15
REGULATION OF SYNAPSE ORGANIZATION%GOBP%GO:0050807	15
REGULATION OF TISSUE REMODELING%GOBP%GO:0034103	15
REGULATION OF TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:0022898	15
RESPONSE TO CORTICOSTEROID%GOBP%GO:0031960	15
RESPONSE TO GLUCOCORTICOID%GOBP%GO:0051384	15
RESPONSE TO RADIATION%GOBP%GO:0009314	15
SECOND-MESSENGER-MEDIATED SIGNALING%GOBP%GO:0019932	15
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2	15
SERINE-TYPE ENDOPEPTIDASE INHIBITOR ACTIVITY%GOMF%GO:0004867	15
TGF_BETA_RECEPTOR%IOB%TGF_BETA_RECEPTOR	15
TNFALPHA%IOB%TNFALPHA	15
TRANSMEMBRANE TRANSPORT%GOBP%GO:0055085	15
TRANSMEMBRANE TRANSPORTER COMPLEX%GOCC%GO:1902495	15
UBIQUITIN-LIKE PROTEIN LIGASE BINDING%GOMF%GO:0044389	15
VISUAL PHOTOTRANSDUCTION%REACTOME DATABASE ID RELEASE 63%2187338	15
ADULT BEHAVIOR%GOBP%GO:0030534	14
BIOCARTA_PPARA_PATHWAY%MSIGDB_C2%BIOCARTA_PPARA_PATHWAY	14
BROWN FAT CELL DIFFERENTIATION%GOBP%GO:0050873	14
CARDIAC MUSCLE CELL DEVELOPMENT%GOBP%GO:0055013	14
CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007	14
CELL CORTEX PART%GOCC%GO:0044448	14
CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 63%69620	14
CELL GROWTH%GOBP%GO:0016049	14
CELLULAR LIPID CATABOLIC PROCESS%GOBP%GO:0044242	14
CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT%GOBP%GO:0021954	14
CHEMOKINE RECEPTORS BIND CHEMOKINES%REACTOME%R-HSA-380108.3	14
COMPLEMENT CASCADE%REACTOME%R-HSA-166658.2	14
COMPLEX I BIOGENESIS%REACTOME%R-HSA-6799198.1	14
CORTICAL CYTOSKELETON%GOCC%GO:0030863	14
DEFENSE RESPONSE TO GRAM-POSITIVE BACTERIUM%GOBP%GO:0050830	14
EUKARYOTIC TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 63%72764	14
EXTRACELLULAR MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0065010	14
FEMALE SEX DIFFERENTIATION%GOBP%GO:0046660	14
FOXM1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXM1 TRANSCRIPTION FACTOR NETWORK	14
GAMETE GENERATION%GOBP%GO:0007276	14
GATED CHANNEL ACTIVITY%GOMF%GO:0022836	14
HORMONE METABOLIC PROCESS%GOBP%GO:0042445	14
INORGANIC ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0098660	14
ION GATED CHANNEL ACTIVITY%GOMF%GO:0022839	14
KERATINIZATION%REACTOME%R-HSA-6805567.2	14
LIPID TRANSPORT%GOBP%GO:0006869	14
MECHANOSENSITIVE ION CHANNEL ACTIVITY%GOMF%GO:0008381	14
MESONEPHRIC EPITHELIUM DEVELOPMENT%GOBP%GO:0072163	14
MESONEPHRIC TUBULE DEVELOPMENT%GOBP%GO:0072164	14
MHC PROTEIN COMPLEX%GOCC%GO:0042611	14
MICROTUBULE-BASED MOVEMENT%GOBP%GO:0007018	14
MONOCARBOXYLIC ACID TRANSPORT%GOBP%GO:0015718	14
MONOVALENT INORGANIC CATION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOMF%GO:0015077	14
MUSCLE FIBER DEVELOPMENT%GOBP%GO:0048747	14
NABA_BASEMENT_MEMBRANES%MSIGDB_C2%NABA_BASEMENT_MEMBRANES	14
NEGATIVE REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050728	14
